movieId,title,genres
0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,Grumpier Old Men (1995),Comedy|Romance
2,Heat (1995),Action|Crime|Thriller
3,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
4,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
5,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
6,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
7,Braveheart (1995),Action|Drama|War
8,Rob Roy (1995),Action|Drama|Romance|War
9,Canadian Bacon (1995),Comedy|War
10,Desperado (1995),Action|Romance|Western
11,Billy Madison (1995),Comedy
12,Clerks (1994),Comedy
13,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
14,Ed Wood (1994),Comedy|Drama
15,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
16,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
17,Stargate (1994),Action|Adventure|Sci-Fi
18,Tommy Boy (1995),Comedy
19,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
20,Forrest Gump (1994),Comedy|Drama|Romance|War
21,"Jungle Book, The (1994)",Adventure|Children|Romance
22,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
23,Blown Away (1994),Action|Thriller
24,Dazed and Confused (1993),Comedy
25,"Fugitive, The (1993)",Thriller
26,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
27,Mrs. Doubtfire (1993),Comedy|Drama
28,Schindler's List (1993),Drama|War
29,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
30,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
31,Tombstone (1993),Action|Drama|Western
32,Dances with Wolves (1990),Adventure|Drama|Western
33,Batman (1989),Action|Crime|Thriller
34,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
35,Pinocchio (1940),Animation|Children|Fantasy|Musical
36,Fargo (1996),Comedy|Crime|Drama|Thriller
37,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
38,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
39,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
40,"Rock, The (1996)",Action|Adventure|Thriller
41,Twister (1996),Action|Adventure|Romance|Thriller
42,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
43,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
44,Citizen Kane (1941),Drama|Mystery
45,Mr. Smith Goes to Washington (1939),Drama
46,Winnie the Pooh and the Blustery Day (1968),Animation|Children|Musical
47,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical
48,Dumbo (1941),Animation|Children|Drama|Musical
49,Pete's Dragon (1977),Adventure|Animation|Children|Musical
50,Bedknobs and Broomsticks (1971),Adventure|Children|Musical
51,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical
52,That Thing You Do! (1996),Comedy|Drama
53,"Ghost and the Darkness, The (1996)",Action|Adventure
54,Swingers (1996),Comedy|Drama
55,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
56,Monty Python's Life of Brian (1979),Comedy
57,Reservoir Dogs (1992),Crime|Mystery|Thriller
58,Platoon (1986),Drama|War
